model_size(B),tp,num_clients,mode,success_rate,qps,avg_inlen,avg_outlen,max_inlen,max_outlen,o_tps,io_tps,min_ttft,max_ttft,mean_ttft,median_ttft,std_ttft,p90_ttft,p99_ttft,min_tpot,max_tpot,mean_tpot,median_tpot,std_tpot,p90_tpot,p99_tpot,min_e2e,max_e2e,mean_e2e,median_e2e,std_e2e,p90_e2e,p99_e2e,min_itl,max_itl,mean_itl,median_itl,std_itl,p90_itl,p99_itl
13,1,200,fp16,1.000,7.798,127.029,324.200,1020,947,2527.963,3518.478,20.939,13558.416,5110.065,5247.530,2494.792,8083.361,10611.796,19.934,95.260,56.577,57.966,5.460,59.844,64.546,166.408,67697.528,23407.299,21381.862,13013.960,40825.752,60577.275,18.161,981.201,56.613,50.993,45.410,57.139,249.781
13,1,300,fp16,1.000,7.763,122.665,322.327,1020,982,2502.162,3454.382,21.760,25561.909,16005.016,17711.066,6117.673,21467.422,23735.584,19.776,81.883,56.119,57.392,5.325,59.167,64.397,167.780,79853.317,34054.803,32565.870,14536.877,53528.542,72448.087,16.388,1042.751,56.173,50.863,43.253,56.906,251.293
13,2,1,fp16,1.000,0.267,134.815,325.852,1020,947,86.997,122.991,12.169,1219.008,34.049,13.622,133.017,38.616,297.792,10.811,11.990,11.089,11.089,0.142,11.199,11.419,67.743,10540.430,3642.713,3265.401,2407.460,6693.385,10071.196,10.676,33.322,11.109,11.133,0.272,11.246,11.330
13,2,5,fp16,1.000,1.177,134.000,341.176,1020,947,401.673,559.434,16.750,94.637,31.590,25.045,13.998,53.429,79.159,11.460,16.951,12.277,12.278,0.372,12.562,12.979,82.417,11891.204,4215.751,3874.280,2865.993,9284.415,11126.233,8.552,80.987,12.300,12.218,1.665,12.611,12.921
13,2,10,fp16,1.000,2.173,125.226,340.674,1020,947,740.417,1012.582,17.866,97.788,33.775,28.197,13.815,52.562,83.253,12.022,18.476,13.249,13.106,0.631,14.152,14.735,86.337,12825.344,4551.302,4179.519,3141.676,9816.652,12335.207,8.990,84.190,13.300,13.006,2.546,14.147,16.349
13,2,20,fp16,1.000,3.880,130.167,341.130,1020,947,1323.424,1828.412,14.464,128.748,37.272,31.138,15.063,56.988,88.766,12.569,23.244,14.597,14.474,0.760,15.635,16.268,95.900,13929.989,5016.173,4564.919,3421.012,10964.813,13415.270,9.041,87.813,14.638,14.123,3.935,15.410,28.031
13,2,30,fp16,1.000,5.251,135.382,347.990,1020,947,1827.203,2538.056,14.181,139.081,40.460,33.598,16.100,60.228,103.432,12.591,25.399,15.883,15.824,0.777,16.824,17.786,104.856,14940.410,5558.783,5022.775,3705.304,11955.403,14500.652,8.834,133.568,15.903,15.220,5.090,16.492,43.240
13,2,40,fp16,1.000,6.432,137.986,347.205,1020,947,2233.248,3120.781,13.501,174.882,44.044,36.546,18.012,67.595,108.350,12.518,28.334,17.319,17.298,0.821,18.091,19.393,112.063,16703.396,6042.959,5500.290,3992.157,12958.901,15758.578,7.748,127.866,17.328,16.349,6.154,18.061,48.418
13,2,50,fp16,1.000,7.637,139.760,342.499,1020,947,2615.672,3683.024,14.689,175.731,46.922,38.696,18.470,70.478,111.104,12.561,30.614,18.462,18.469,0.858,19.110,20.798,120.937,17695.257,6354.974,5846.185,4214.810,13688.663,16647.957,8.759,124.806,18.472,17.124,7.225,19.906,62.037
13,2,100,fp16,1.000,11.027,136.306,320.195,1020,947,3530.828,5033.892,14.514,236.704,63.599,53.601,23.432,98.834,135.741,12.563,50.683,26.773,26.881,1.820,28.009,31.281,113.957,26619.668,8601.147,7668.404,5762.818,16477.227,25122.777,9.564,190.082,26.747,24.069,11.314,31.489,85.713
13,2,200,fp16,1.000,13.453,126.575,322.080,1020,947,4333.072,6035.943,14.615,265.922,93.984,80.540,34.298,144.187,207.001,12.557,58.675,42.651,43.690,4.604,45.446,49.265,106.640,42808.813,13781.516,11976.645,9560.049,26910.573,40762.258,8.768,269.524,42.630,37.997,18.694,59.686,125.799
13,2,300,fp16,1.000,14.407,123.460,322.182,1020,982,4641.836,6420.590,14.051,351.699,127.791,113.833,45.608,192.563,265.534,12.558,84.453,58.272,60.903,8.361,62.782,68.422,118.832,61061.343,18803.765,16280.456,13639.433,37193.354,56674.934,11.121,361.473,58.148,51.361,26.207,89.711,157.443
65,8,1,fp16,1.000,0.146,158.467,321.667,1020,878,46.974,70.115,21.846,169.372,39.537,25.334,30.430,75.981,146.340,19.427,21.095,19.875,19.905,0.259,20.071,20.677,306.966,17704.881,6420.617,5648.996,4474.644,13358.824,16889.516,18.929,59.624,19.899,19.901,0.648,20.137,20.667
65,8,5,fp16,1.000,0.618,144.041,357.378,1020,892,220.918,309.959,27.867,151.255,57.998,46.314,24.496,86.693,139.801,20.666,30.618,21.968,21.879,0.690,22.281,23.091,325.955,19675.469,7880.775,7406.807,5273.456,16966.015,19654.428,18.172,124.307,21.951,21.782,2.991,22.070,23.470
65,8,10,fp16,1.000,1.160,145.621,368.082,1020,892,427.125,596.106,26.919,155.384,61.038,48.539,25.816,91.691,152.382,20.988,30.547,22.564,22.531,0.622,23.102,23.821,341.396,20533.473,8342.222,7636.566,5427.283,17482.070,20279.032,19.698,134.088,22.559,22.260,4.598,22.629,29.009
65,8,20,fp16,1.000,2.046,142.222,356.168,1020,892,728.795,1019.812,25.645,194.944,68.829,57.714,27.471,101.187,164.427,22.156,32.011,26.423,26.672,1.423,28.011,29.101,392.011,24681.411,9466.298,8662.643,6286.448,20409.243,24308.033,19.318,184.213,26.459,25.801,7.001,27.518,58.033
65,8,30,fp16,1.000,2.810,147.161,349.327,1020,892,981.562,1395.065,26.702,197.440,74.507,61.883,29.124,112.063,172.417,21.989,36.377,29.171,29.171,1.299,30.478,33.002,190.647,26700.073,10226.537,9188.693,6872.370,22152.227,26143.915,17.952,192.729,29.145,28.023,8.949,29.678,72.894
65,8,40,fp16,1.000,3.576,144.223,342.653,1020,878,1225.406,1741.182,27.490,209.231,78.905,66.667,29.911,124.267,176.891,22.053,55.082,31.282,31.323,1.432,32.437,35.009,204.409,28344.405,10751.494,9778.946,7223.419,23595.329,28003.394,18.993,196.403,31.238,29.563,10.421,31.763,89.167
65,8,50,fp16,1.000,4.150,143.387,341.277,1020,947,1416.162,2011.160,26.305,226.777,83.027,69.737,30.703,128.489,184.093,21.992,59.311,33.258,33.296,1.754,34.471,37.039,215.742,31535.717,11373.454,10381.041,7619.979,24735.540,29755.058,19.817,202.171,33.180,30.977,11.750,35.221,104.536
65,8,100,fp16,1.000,6.650,133.843,322.562,1020,947,2144.986,3035.024,26.685,264.182,101.145,87.608,33.526,152.070,211.590,22.015,65.420,43.374,43.629,2.402,45.165,48.818,207.545,42206.096,14045.058,12481.179,9291.638,26661.826,39056.781,19.183,238.241,43.363,39.094,16.712,50.317,131.070
65,8,200,fp16,1.000,8.970,126.854,322.848,1020,947,2895.905,4033.767,26.360,392.147,136.434,121.337,44.409,205.390,269.174,22.439,80.203,62.566,63.679,5.187,65.791,70.485,200.053,61402.148,20221.944,17651.285,13804.350,39306.154,59179.986,18.210,356.348,62.407,55.323,24.900,82.806,168.340
65,8,300,fp16,1.000,9.893,123.763,322.615,1020,982,3191.528,4415.873,25.879,493.129,177.868,159.430,57.444,256.822,353.137,22.357,108.085,82.832,85.898,9.917,88.957,96.446,201.980,85975.686,26711.154,23331.668,19136.795,52761.651,79962.237,19.826,531.901,82.500,73.895,32.430,126.133,204.845
70,4,1,fp16,1.000,0.095,167.414,351.103,1020,878,33.279,49.147,31.431,242.757,63.238,38.660,53.859,144.705,230.295,29.161,30.008,29.608,29.668,0.186,29.794,29.956,602.854,26352.820,10445.451,8528.098,7035.627,23002.775,25589.110,28.927,89.544,29.655,29.667,0.881,29.862,29.992
70,4,5,fp16,1.000,0.408,150.690,373.271,1020,878,152.187,213.625,53.289,318.224,91.931,67.707,49.081,178.999,233.755,30.889,47.180,31.930,31.791,1.418,32.387,33.664,625.349,28458.381,11947.596,10758.887,7648.943,24746.806,28373.556,28.133,212.758,31.844,31.708,4.988,31.937,33.610
70,4,10,fp16,1.000,0.808,142.909,370.706,1020,878,299.370,414.779,44.803,317.739,92.533,70.378,47.646,179.702,246.578,31.138,47.951,32.770,32.522,1.314,33.456,35.389,634.112,29059.696,12171.309,10877.620,7869.981,25332.174,28802.073,28.233,215.241,32.669,32.124,7.681,32.363,40.632
70,4,20,fp16,1.000,1.479,150.771,355.284,1020,878,525.431,748.406,44.413,317.594,100.275,77.002,50.330,199.101,250.983,32.416,47.965,36.446,36.391,1.312,37.404,40.807,574.364,32678.074,12979.933,11227.060,8804.443,27977.596,32134.260,28.295,218.084,36.354,35.070,12.031,35.624,83.730
