model_size(B),tp,num_clients,mode,success_rate,qps,avg_inlen,avg_outlen,max_inlen,max_outlen,o_tps,io_tps,min_ttft,max_ttft,mean_ttft,median_ttft,std_ttft,p90_ttft,p99_ttft,min_tpot,max_tpot,mean_tpot,median_tpot,std_tpot,p90_tpot,p99_tpot,min_e2e,max_e2e,mean_e2e,median_e2e,std_e2e,p90_e2e,p99_e2e,min_itl,max_itl,mean_itl,median_itl,std_itl,p90_itl,p99_itl
13,1,200,fp16,1.000,5.504,127.757,323.587,1020,947,1781.038,2484.217,69.259,16617.979,6814.382,7280.385,3683.583,11039.261,15719.421,30.572,110.013,79.569,81.763,8.380,84.874,90.716,389.102,89562.032,32404.079,29690.652,17893.730,57270.371,83024.519,5.003,665.761,79.327,74.353,40.769,78.002,292.206
13,1,300,fp16,1.000,5.618,123.939,321.817,1020,982,1808.093,2504.434,94.606,35171.217,21813.484,24298.602,9656.253,31128.983,33742.738,24.778,116.979,78.152,79.865,7.876,84.121,89.924,311.206,110501.636,46696.164,44678.327,20425.571,74569.792,97916.048,0.007,674.997,77.560,73.422,41.209,77.678,289.103
13,2,1,fp16,1.000,0.096,167.414,351.310,1020,878,33.722,49.792,38.944,1073.263,80.486,40.661,187.878,57.345,795.883,28.574,33.609,29.672,29.446,0.909,30.199,32.666,1304.699,25722.333,10417.712,8438.128,6940.889,22880.259,25173.347,27.127,71.327,29.509,29.223,1.137,30.264,32.740
13,2,5,fp16,1.000,0.417,148.687,371.672,1020,878,154.909,216.880,90.084,415.423,237.047,252.646,87.181,342.856,373.261,30.154,37.838,31.289,31.170,0.808,31.767,34.781,543.320,27765.791,11807.867,10752.725,7448.324,24267.527,27501.884,26.656,207.760,31.216,30.364,5.734,30.751,71.620
13,2,10,fp16,1.000,0.808,142.909,370.968,1020,878,299.817,415.316,58.707,488.250,242.725,253.947,91.199,345.352,421.149,30.491,37.885,32.152,32.072,0.789,32.835,35.118,488.703,28723.026,12139.404,10941.347,7758.308,24971.992,28342.671,26.040,187.370,32.156,30.507,8.464,30.878,74.065
13,2,20,fp16,1.000,1.505,148.961,355.331,1020,878,534.596,758.708,37.666,476.500,245.759,258.029,96.425,359.548,430.198,31.529,40.220,35.010,35.074,1.090,35.943,38.774,525.856,31523.800,12661.413,10889.308,8507.436,27173.805,31034.646,0.008,189.497,35.040,31.807,11.913,32.691,85.517
13,2,30,fp16,1.000,2.171,151.171,350.492,1020,878,760.867,1089.037,52.194,556.562,246.265,255.197,106.051,383.665,495.967,31.750,46.521,36.601,36.549,1.337,37.966,40.268,494.920,33256.564,13044.850,11192.677,8776.916,28224.484,32610.278,0.007,281.374,36.621,32.140,14.729,60.130,87.360
13,2,40,fp16,1.000,2.847,147.648,343.338,1020,878,977.611,1398.019,53.188,599.555,248.788,259.014,112.823,387.681,505.379,31.777,46.201,38.498,38.356,1.672,40.584,43.591,305.185,36347.305,13436.230,11763.774,9042.928,29279.976,34119.244,0.007,284.133,38.522,32.566,17.026,62.165,104.026
13,2,50,fp16,1.000,3.323,145.332,339.995,1020,947,1129.789,1612.723,52.404,639.626,261.546,268.443,118.886,418.480,552.749,33.042,50.412,40.310,40.431,1.658,41.836,44.689,319.686,38514.731,13924.007,12434.977,9343.053,30264.090,35976.053,17.325,298.809,40.303,33.504,18.890,73.628,107.745
13,2,100,fp16,1.000,5.842,134.925,324.373,1020,947,1895.060,2683.322,42.003,732.252,287.137,286.202,141.465,477.429,608.211,34.222,61.457,47.446,47.370,2.579,50.715,52.924,264.586,48481.111,15637.084,13935.615,10232.369,30522.282,43651.535,0.007,261.343,47.468,37.149,23.990,80.136,142.160
13,2,200,fp16,1.000,8.703,126.290,323.071,1020,947,2811.756,3910.887,46.486,861.482,366.514,357.259,190.810,635.618,792.070,34.112,75.424,63.261,64.643,4.641,65.833,67.687,437.339,62588.622,20729.441,18105.016,14032.220,40591.464,60334.128,0.008,303.372,63.225,56.752,28.633,85.823,196.255
13,2,300,fp16,1.000,9.292,123.726,323.870,1020,982,3009.539,4159.256,47.022,1666.998,499.629,485.092,268.232,841.009,1134.304,34.329,107.506,87.019,91.533,11.000,93.037,96.506,454.857,91198.909,28535.187,25021.451,20268.817,56044.270,85027.315,0.007,346.261,86.832,80.385,37.885,101.000,257.535
65,8,1,fp16,1.000,0.058,168.944,293.889,1020,790,16.944,26.685,67.805,3281.787,265.680,74.071,731.822,122.854,2744.799,57.330,63.488,58.692,58.533,1.260,58.978,62.747,2565.893,46140.785,17344.061,14505.902,12500.415,36668.296,45993.750,55.322,91.512,58.310,57.152,4.073,59.726,76.666
65,8,5,fp16,1.000,0.222,154.347,336.787,1020,801,74.893,109.216,115.946,840.694,400.060,432.541,181.805,611.811,766.590,58.996,74.643,61.601,61.241,1.900,62.557,68.702,1021.872,49400.438,20948.464,15683.766,14840.453,47184.943,49353.741,53.325,238.935,61.195,58.967,10.664,62.388,116.034
65,8,10,fp16,1.000,0.440,159.596,338.836,1020,878,148.939,219.091,113.962,831.492,397.965,418.163,178.387,611.938,767.297,59.687,71.331,62.809,62.786,1.549,63.592,69.866,995.682,53968.954,21561.517,16484.752,15423.430,48268.737,50894.353,52.377,277.968,62.645,59.468,14.621,62.977,158.432
65,8,20,fp16,1.000,0.825,160.229,347.082,1020,878,286.321,418.499,111.477,815.566,383.692,381.941,175.007,608.574,729.514,60.793,75.525,64.375,64.294,1.851,65.604,72.244,992.102,57169.860,22588.856,18448.244,15753.393,50286.876,56931.403,0.008,280.641,64.162,59.580,19.842,62.946,163.141
65,8,30,fp16,1.000,1.132,155.871,354.609,1020,878,401.554,578.061,111.419,960.156,397.610,419.578,186.895,619.625,829.140,60.668,83.036,66.677,66.743,2.097,68.427,73.580,999.365,59686.251,23899.017,19682.549,16042.192,52107.821,59354.496,54.540,368.744,66.462,60.661,22.426,68.269,175.463
65,8,40,fp16,1.000,1.472,155.131,350.809,1020,878,516.478,744.870,110.249,1078.443,415.937,436.640,198.855,643.179,920.572,62.044,77.452,69.066,69.159,1.832,70.807,74.557,1025.115,61994.138,24517.380,21408.280,16320.019,52853.067,61373.027,0.007,417.867,68.899,61.565,26.609,76.622,186.526
65,8,50,fp16,1.000,1.845,148.818,341.302,1020,878,629.614,904.144,109.958,1098.483,423.204,434.861,205.111,670.647,900.841,61.740,85.904,71.193,71.542,2.508,73.095,78.399,541.787,64520.378,24567.436,21699.729,16375.181,53017.304,62893.479,56.021,323.099,70.949,62.614,29.135,78.345,205.135
65,8,100,fp16,1.000,3.475,138.301,323.238,1020,947,1123.242,1603.833,102.163,1109.008,472.344,459.906,233.355,804.095,1005.378,62.925,87.765,77.854,78.031,2.828,80.612,83.072,594.988,76482.775,25540.990,22822.974,16679.092,48718.164,70292.858,0.007,398.824,77.795,65.578,39.172,86.105,248.525
65,8,200,fp16,1.000,5.696,128.960,323.600,1020,947,1843.356,2577.963,97.837,2168.133,577.412,556.852,295.159,967.016,1368.041,65.631,123.286,92.180,93.573,4.975,96.110,100.684,672.430,90988.663,30234.416,26485.960,20206.446,59268.427,87211.647,0.009,1329.694,91.931,76.183,57.802,118.966,340.071
