model_size(B),tp,num_clients,mode,success_rate,qps,avg_inlen,avg_outlen,max_inlen,max_outlen,o_tps,io_tps,min_ttft,max_ttft,mean_ttft,median_ttft,std_ttft,p90_ttft,p99_ttft,min_tpot,max_tpot,mean_tpot,median_tpot,std_tpot,p90_tpot,p99_tpot,min_e2e,max_e2e,mean_e2e,median_e2e,std_e2e,p90_e2e,p99_e2e,min_itl,max_itl,mean_itl,median_itl,std_itl,p90_itl,p99_itl
13,1,200,fp16,1.000,4.365,127.813,322.667,1020,947,1408.323,1966.180,24.944,17657.209,7542.213,8493.318,4779.188,12985.780,16099.208,29.137,632.888,108.286,106.645,24.758,120.624,186.918,271.695,116215.633,41171.965,38128.863,22557.202,72782.962,103852.873,20.656,10890.562,104.546,85.891,108.379,164.716,321.303
13,1,300,fp16,1.000,4.284,124.983,324.028,1020,982,1388.194,1923.645,24.231,43052.687,24963.235,29950.970,13108.350,36225.926,40998.143,29.140,546.218,113.024,107.401,33.007,130.902,254.475,242.074,138660.169,59582.958,57549.578,26085.839,94478.973,127330.788,20.700,24150.225,107.170,86.341,205.983,166.691,316.099
13,2,1,fp16,1.000,0.178,152.278,324.185,1020,878,57.827,84.990,20.073,352.090,35.452,21.597,48.109,43.671,245.691,16.799,51.339,17.818,17.220,4.606,17.306,33.356,253.593,15160.999,5605.940,4734.038,3839.838,12143.885,14271.201,14.618,293.096,17.236,17.169,2.383,17.370,20.090
13,2,5,fp16,1.000,0.782,141.078,352.286,1020,892,275.366,385.639,25.849,93.490,40.925,35.098,13.545,56.121,89.674,17.019,27.539,17.684,17.573,0.830,17.844,20.394,261.509,15799.950,6228.172,5877.672,4147.653,13403.622,15506.221,15.457,154.602,17.613,17.297,3.060,17.495,35.108
13,2,10,fp16,1.000,1.526,137.453,354.813,1020,892,541.337,751.048,22.604,101.514,40.996,35.354,14.026,56.763,94.188,16.947,26.794,18.031,17.942,0.702,18.667,19.481,256.518,16479.971,6417.317,5951.062,4265.805,13571.412,16267.503,15.879,173.797,18.021,17.227,4.835,18.289,36.005
13,2,20,fp16,1.000,2.621,139.950,359.102,1020,892,941.253,1308.080,20.312,133.122,43.100,36.993,15.072,58.852,96.475,17.741,26.780,20.615,20.526,0.824,21.605,22.575,132.454,19142.760,7438.536,6846.309,4883.413,15887.863,18634.717,15.320,177.126,20.651,19.361,7.122,20.604,49.997
13,2,30,fp16,1.000,3.400,146.047,349.797,1020,892,1189.322,1685.888,19.772,187.212,46.248,40.077,15.926,62.253,98.331,18.525,30.659,24.509,24.441,1.127,25.609,27.763,146.745,22639.501,8594.260,7765.246,5749.138,18653.514,21934.329,15.763,192.316,24.507,22.335,10.315,24.093,63.718
13,2,40,fp16,1.000,4.082,145.334,341.459,1020,947,1393.794,1987.031,20.265,199.202,48.560,42.652,16.233,64.298,101.568,18.460,42.167,27.626,27.661,1.385,28.770,31.620,160.794,26223.691,9453.372,8577.811,6392.330,20788.235,24747.378,15.988,213.827,27.623,24.877,11.896,28.301,81.848
13,2,50,fp16,1.000,4.526,140.750,341.359,1020,947,1544.968,2181.993,19.666,236.917,50.708,44.944,17.241,67.139,106.421,18.771,41.253,30.749,30.871,1.533,32.013,34.444,173.759,28956.352,10504.371,9624.840,7057.385,22855.434,27561.857,15.837,220.137,30.713,27.392,13.003,44.677,90.085
13,2,100,fp16,1.000,5.943,134.075,323.810,1020,947,1924.277,2721.034,21.818,252.733,63.001,58.614,24.131,84.772,204.100,22.782,69.276,49.104,49.859,3.607,51.144,54.608,192.712,48189.768,15928.325,14113.599,10587.068,30196.305,44582.657,15.672,273.883,49.146,41.880,22.646,65.416,185.298
